="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0003432",=".0061256",=".9553144",="-.0123492",=".0116627"
="_nl_2",="-.0259901",=".0204059",=".2027847",="-.065985",=".0140047"
="_nl_3",=".001685",=".0015089",=".2641357",="-.0012725",=".0046424"
="_nl_4",="-.1290689",=".0739674",=".080995",="-.2740424",=".0159046"
="_nl_5",="-7.71e-06",=".0001893",=".9675197",="-.0003787",=".0003633"
="_nl_6",=".0570997",=".0156868",=".0002727",=".026354",=".0878453"
="_nl_7",=".009111",=".0041812",=".029328",=".000916",=".0173059"
="_nl_8",="-.1139797",=".0576266",=".04794",="-.2269259",="-.0010336"
="N",="2055",="",="",="",=""
